C&D,Химчистка,+375 17 3774646;+375 29 1132463,городской,http://www.cleandry.by/,,,,,,МСБ без чата - клиенты уходят к конкурентам пока вы заняты,"Я звоню вам, потому что увидел ваш химчистка C&D и заметил несколько возможностей для роста. У вас есть 2 минуты?","69, вуліца Якуба Коласа, Мінск",Минск,YES
C&D,Химчистка,+375 17 3774646;+375 44 7840938,городской,http://www.cleandry.by/,,,,,,МСБ без чата - клиенты уходят к конкурентам пока вы заняты,"Я звоню вам, потому что увидел ваш химчистка C&D и заметил несколько возможностей для роста. У вас есть 2 минуты?",Адрес не указан,Минск,YES
Тифон,Химчистка,+375 (17) 222-20-62,городской,http://www.tifon.biz/,,,,,,МСБ без чата - клиенты уходят к конкурентам пока вы заняты,"Я звоню вам, потому что увидел ваш химчистка Тифон и заметил несколько возможностей для роста. У вас есть 2 минуты?",Адрес не указан,Минск,YES
Химчистка Фламинго,Химчистка,+375 44 798 43 10,личный,,,,,,,МСБ без сайта - теряет 95% онлайн-заказов в районе,"Я звоню вам, потому что увидел ваш химчистка Химчистка Фламинго и заметил несколько возможностей для роста. У вас есть 2 минуты?",Адрес не указан,Минск,YES
Амика-сервис,Химчистка,+375 17 3516219;+375 44 7611232,городской,https://amica-service.by,amica-service@mail.ru,,,,,МСБ без чата - клиенты уходят к конкурентам пока вы заняты,"Я звоню вам, потому что увидел ваш химчистка Амика-сервис и заметил несколько возможностей для роста. У вас есть 2 минуты?",Адрес не указан,Минск,YES
Lucia,Химчистка,+375291774501,личный,https://lucia.by/,,,,,,МСБ без чата - клиенты уходят к конкурентам пока вы заняты,"Я звоню вам, потому что увидел ваш химчистка Lucia и заметил несколько возможностей для роста. У вас есть 2 минуты?","19, Мінск",Минск,YES
Савана-Спорт,Парикмахерская,,,http://www.savanas.by/,,,,,,50,ГОРЯЧО: Есть контакты но нет чата,"Нет телефона - МСБ теряет 80% локальных клиентов, МСБ без чата - клиенты уходят к конкурентам пока вы заняты, МСБ без онлайн-записи - теряет вечерних клиентов, МСБ без формы заявок - клиенты не могут заказать 24/7, МСБ без точного адреса - клиенты не могут найти",,"У вас нет чата, запись только по телефону. Пора в онлайн!",Нет телефона - МСБ теряет 80% локальных клиентов,"Я звоню вам, потому что увидел ваш парикмахерская Савана-Спорт и заметил несколько возможностей для роста. У вас есть 2 минуты?",Адрес не указан,Минск,YES
Status & Lounge,Парикмахерская,+375173979506,городской,https://instagram.com/status.barbershop,,@rsrc.php,,,,75,ГОРЯЧО: Активный IG но нет чата,"МСБ без чата - клиенты уходят к конкурентам пока вы заняты, МСБ без онлайн-записи - теряет вечерних клиентов, МСБ без формы заявок - клиенты не могут заказать 24/7",IG: @rsrc.php,"У вас крутой Инстаграм, но нет чата, запись только по телефону. Давайте исправим?",МСБ без чата - клиенты уходят к конкурентам пока вы заняты,"Я звоню вам, потому что увидел ваш парикмахерская Status & Lounge и заметил несколько возможностей для роста. У вас есть 2 минуты?","144, Партызанскі праспект, Мінск",Минск,YES
ProRock,Парикмахерская,+375 17 334 27 25,городской,,,,,,,35,ГОРЯЧО: Есть контакты но нет сайта,МСБ без сайта - теряет 95% онлайн-заказов в районе,,"У вас нет сайта, нет онлайн-присутствия. Пора в онлайн!",МСБ без сайта - теряет 95% онлайн-заказов в районе,"Я звоню вам, потому что увидел ваш парикмахерская ProRock и заметил несколько возможностей для роста. У вас есть 2 минуты?","24 к2, вуліца Веры Харужай, Мінск",Минск,YES
У Юлии,Парикмахерская,+375172845999,городской,,,,,,,40,ГОРЯЧО: Есть контакты но нет сайта,"МСБ без сайта - теряет 95% онлайн-заказов в районе, МСБ без точного адреса - клиенты не могут найти",,"У вас нет сайта, нет онлайн-присутствия. Пора в онлайн!",МСБ без сайта - теряет 95% онлайн-заказов в районе,"Я звоню вам, потому что увидел ваш парикмахерская У Юлии и заметил несколько возможностей для роста. У вас есть 2 минуты?",Адрес не указан,Минск,YES
Ясь,Парикмахерская,+375-17-243-78-31,городской,,,,,,,35,ГОРЯЧО: Есть контакты но нет сайта,МСБ без сайта - теряет 95% онлайн-заказов в районе,,"У вас нет сайта, нет онлайн-присутствия. Пора в онлайн!",МСБ без сайта - теряет 95% онлайн-заказов в районе,"Я звоню вам, потому что увидел ваш парикмахерская Ясь и заметил несколько возможностей для роста. У вас есть 2 минуты?","1, вуліца Залатая Горка, Мінск",Минск,YES
Настоящая пекарня,Пекарня,+375 17 3804744,городской,,,,,,,30,ГОРЯЧО: Есть контакты но нет сайта,"МСБ без сайта - теряет 95% онлайн-заказов в районе, МСБ без точного адреса - клиенты не могут найти",,"У вас нет сайта, нет онлайн-присутствия. Пора в онлайн!",МСБ без сайта - теряет 95% онлайн-заказов в районе,"Я звоню вам, потому что увидел ваш пекарня Настоящая пекарня и заметил несколько возможностей для роста. У вас есть 2 минуты?",Адрес не указан,Минск,YES
Brioche Paris,Пекарня,,,https://brioche.by/,,,,,,35,ГОРЯЧО: Есть контакты но нет чата,"Нет телефона - МСБ теряет 80% локальных клиентов, МСБ без чата - клиенты уходят к конкурентам пока вы заняты, МСБ без формы заявок - клиенты не могут заказать 24/7, МСБ без точного адреса - клиенты не могут найти",,У вас нет чата. Пора в онлайн!,Нет телефона - МСБ теряет 80% локальных клиентов,"Я звоню вам, потому что увидел ваш пекарня Brioche Paris и заметил несколько возможностей для роста. У вас есть 2 минуты?",Адрес не указан,Минск,YES
Тьерри,Пекарня,,,https://thierry.by/,,,,,,30,ГОРЯЧО: Есть контакты но нет чата,"Нет телефона - МСБ теряет 80% локальных клиентов, МСБ без чата - клиенты уходят к конкурентам пока вы заняты, МСБ без формы заявок - клиенты не могут заказать 24/7",,У вас нет чата. Пора в онлайн!,Нет телефона - МСБ теряет 80% локальных клиентов,"Я звоню вам, потому что увидел ваш пекарня Тьерри и заметил несколько возможностей для роста. У вас есть 2 минуты?","5, вуліца Няміга, Мінск",Минск,YES
Пан Круасан,Пекарня,+375296555746,личный,http://pankruassan.by/,,,,,,60,ГОРЯЧО: Личный номер но нет чата,"МСБ без чата - клиенты уходят к конкурентам пока вы заняты, МСБ без формы заявок - клиенты не могут заказать 24/7",,"У вас личный контакт, но нет чата. Давайте исправим?",МСБ без чата - клиенты уходят к конкурентам пока вы заняты,"Я звоню вам, потому что увидел ваш пекарня Пан Круасан и заметил несколько возможностей для роста. У вас есть 2 минуты?","2Б, вуліца Скрыганава",Минск,YES
